client_code,product,push_notification
1,Карта для путешествий,"Айгерим, видим, что в сентябре вы потратили 275 434 ₸ на путешествия. С картой для путешествий это было бы выгодно — кешбэк с каждой траты! Оформить сейчас?"
2,Премиальная карта,"Данияр, видим, что вы активно тратите в ресторанах. С премиальной картой получите до 4% кешбэка на все покупки и эксклюзивные привилегии. Оформить карту?"
3,Карта для путешествий,"Сабина, видим, что вы много ездите на такси — 99 поездок на 198 999 ₸ в сентябре! С картой для путешествий вернули бы кешбэк. Хотите оформить?"
4,Кредитная карта,"Тимур, заметили, что вы активно тратите на продукты и кафе. С кредитной картой вы получите до 10% кешбэка в этих категориях! Удобно и выгодно. Оформить карту?"
5,Премиальная карта,"Камилла, видно, как активно вы посещаете рестораны. Премиальная карта обеспечит вам до 4% кешбэка на все покупки и удобные условия. Подключить карту?"
6,Кредитная карта,"Аян, заметили, что вы часто тратите на продукты и кафе. С кредитной картой получите до 10% кешбэка в этих категориях! Это удобно и выгодно. Оформить сейчас?"
7,Премиальная карта,"Руслан, заметили, что вы активно тратите на рестораны и косметику. С премиальной картой получите до 4% кешбэка и особые привилегии. Оформить карту?"
8,Премиальная карта,"Мадина, заметили, что вы часто посещаете рестораны и любите косметику. С премиальной картой сможете получать до 4% кешбэка на все покупки! Оформить карту?"
9,Премиальная карта,"Арман, видно, что вы цените качественные рестораны и косметику. С премиальной картой получите до 4% кешбэка и эксклюзивные привилегии. Оформить карту?"
10,Премиальная карта,"Карина, заметили, что вы активно тратите на рестораны и косметику. С премиальной картой получите до 4% кешбэка и дополнительные привилегии. Оформить карту?"
11,Премиальная карта,"Бауржан, заметили ваши активные траты на косметику и рестораны. Премиальная карта обеспечит до 4% кешбэка и особые привилегии. Оформить карту?"
12,Премиальная карта,"Жанар, видим, что вы активно тратите на рестораны и косметику. Премиальная карта подарит до 4% кешбэка и удобные привилегии. Оформить карту?"
13,Кредитная карта,"Алина, заметили, что вы часто тратите на еду и кафе. С кредитной картой получите до 10% кешбэка в этих категориях. Это удобно и выгодно! Оформить карту?"
14,Премиальная карта,"Диас, заметили, что вы активно тратите на рестораны. С премиальной картой получите до 4% кешбэка и эксклюзивные привилегии. Оформить карту?"
15,Премиальная карта,"Нурия, заметили ваши активные траты в ресторанах. Премиальная карта обеспечит до 4% кешбэка на покупки и особые привилегии. Оформить карту?"
16,Кредитная карта,"Ерасыл, заметили, что вы часто тратите на продукты и кафе. С кредитной картой можете получить до 10% кешбэка в этих категориях. Приятно, правда? Оформить карту!"
17,Премиальная карта,"Жанель, заметили ваши активные траты в ресторанах – это здорово! С премиальной картой получите до 4% кешбэка на все покупки и особые привилегии. Оформить карту?"
18,Премиальная карта,"Санжар, заметили, что вы активно тратите в ресторанах. С премиальной картой получите до 4% кешбэка и приятные привилегии. Оформить карту?"
19,Обмен валют,"Азамат, заметили, что у вас активность с валютными операциями. В приложении выгодный обмен и авто-покупка по целевому курсу. Настроить сейчас?"
20,Обмен валют,"Анель, заметили, что вы часто работаете с валютой. В приложении выгодный обмен и авто-покупка по целевому курсу. Настроить сейчас!"
21,Премиальная карта,"Павел, заметили, что вы активно тратите на рестораны. Премиальная карта подарит до 4% кешбэка на все покупки и дополнительные привилегии. Оформить карту?"
22,Обмен валют,"Аружан, заметили, что вы активно покупаете валюту. В приложении выгодный обмен для вас! Настроить сейчас?"
23,Обмен валют,"Темирлан, заметили, что вы часто работаете с валютой. В приложении доступен выгодный обмен! Настроить сейчас?"
24,Депозит мультивалютный,"Гульмира, заметили, что у вас остается свободный остаток. Мультивалютный депозит поможет вам удобно хранить средства и получать проценты. Открыть вклад?"
25,Кредитная карта,"Адиль, мы заметили, что вы часто тратите на продукты и кафе. С кредитной картой получите до 10% кешбэка в этих категориях! Оформить сейчас?"
26,Кредитная карта,"Маржан, заметили, что вы часто тратите на продукты и рестораны. Кредитная карта даст до 10% кешбэка в этих любимых категориях. Оформить карту?"
27,Кредитная карта,"Нурсултан, заметили, что вы часто тратите на продукты и кафе. С кредитной картой получите до 10% кешбэка в этих категориях. Это удобно и выгодно! Оформить карту?"
28,Кредитная карта,"Алтынай, заметили, что вы часто тратите на продукты и кафе. С нашей кредитной картой получите до 10% кешбэка в этих категориях. Оформить карту?"
29,Кредитная карта,"Сая, видим, что вы часто тратите на продукты и кафе. С кредитной картой вы получите до 10% кешбэка в этих категориях. Удобно и выгодно! Оформить карту?"
30,Кредитная карта,"Ербол, видим, что вы часто тратите на продукты и кафе. Кредитная карта даст до 10% кешбэка в ваших любимых категориях! Оформить карту?"
31,Премиальная карта,"Дамир, заметили, что вы активно тратите на рестораны. С премиальной картой получите до 4% кешбэка на все покупки и привилегии. Оформить карту?"
32,Премиальная карта,"Алия, заметили ваши активные траты в ресторанах — это приятно! С премиальной картой вы получите до 4% кешбэка на все покупки и бесплатные снятия. Оформить карту?"
33,Кредитная карта,"Мерей, заметили, что вы часто тратите на продукты и рестораны. С кредитной картой вы получите до 10% кешбэка в этих категориях. Оформить карту?"
35,Премиальная карта,"Самат, заметили, что вы активно наслаждаетесь ресторанами. С премиальной картой получите до 4% кешбэка на все покупки и особые привилегии! Оформить сейчас?"
36,Кредитная карта,"Назым, заметили, что вы часто тратите на продукты и кафе. С нашей кредитной картой вы получите до 10% кешбэка в этих категориях. Оформить карту?"
37,Кредитная карта,"Гульнар, заметили, что вы часто тратите на продукты и кафе. С кредитной картой вы получите до 10% кешбэка в любимых категориях. Оформить карту?"
38,Премиальная карта,"Серик, видим, что вы активно наслаждаетесь ресторанами. Премиальная карта обеспечит вам до 4% кешбэка на все покупки и бесплатные снятия. Оформить карту?"
39,Кредитная карта,"Ляззат, заметили, что вы часто тратите на продукты и кафе. С кредитной картой вам доступен кешбэк до 10% в этих категориях! Это удобно и выгодно. Оформить карту?"
40,Кредитная карта,"Асхат, видим, что вы часто тратите на продукты и кафе. Кредитная карта даст до 10% кешбэка в ваших любимых категориях. Удобно и выгодно! Оформить карту?"
41,Премиальная карта,"Сандугаш, заметили ваши активные траты в ресторанах. Премиальная карта не только позволит получать до 4% кешбэка, но и сделает каждую покупку приятнее! Оформить карту?"
42,Премиальная карта,"Рустем, заметили ваши активные траты в ресторанах — это приятно! С премиальной картой вы получите до 4% кешбэка на все покупки. Оформить карту?"
43,Премиальная карта,"Нуртас, видим, что вы активно тратите на рестораны. Премиальная карта подарит вам до 4% кешбэка и особые привилегии. Это удобно и выгодно! Оформить карту?"
44,Кредитная карта,"Айнагуль, заметили, что вы часто тратите на продукты и кафе. С кредитной картой получите до 10% кешбэка именно в этих категориях! Оформить карту?"
45,Премиальная карта,"Диана, заметили ваши активные траты на ювелирку и рестораны. Премиальная карта обеспечит до 5% кешбэка и уникальные привилегии. Оформить карту?"
46,Кредитная карта,"Арсен, заметили, что вы часто тратите на продукты и кафе. С кредитной картой можете получать до 10% кешбэка в ваших любимых категориях. Оформить сейчас?"
47,Кредитная карта,"Камшат, заметили, что вы часто тратите на продукты и кафе. С кредитной картой можете получать до 10% кешбэка в этих категориях. Оформить карту?"
48,Кредитная карта,"Ержан, заметили, что вы часто тратите на продукты и кафе. С кредитной картой вы получите до 10% кешбэка в этих категориях! Это удобно и выгодно. Оформить карту?"
49,Кредитная карта,"Амина, заметили, что вы часто тратите на продукты и кафе. Кредитная карта даст до 10% кешбэка в этих категориях! Удобно и выгодно. Оформить карту?"
50,Премиальная карта,"Тимурлан, заметили ваши активные траты в ресторанах. С премиальной картой вы получите до 4% кешбэка и бесплатные снятия. Это удобно! Оформить карту?"
51,Кредитная карта,"Жанат, заметили, что вы часто тратите на продукты и кафе. С кредитной картой получите до 10% кешбэка в этих категориях. Приятно экономить, правда? Оформить карту?"
52,Премиальная карта,"Милана, заметили ваши активные траты в ресторанах. Премиальная карта обеспечит до 4% кешбэка на все покупки и особые привилегии. Оформить карту?"
53,Премиальная карта,"Расул, заметили ваши активные траты в ресторанах. С премиальной картой вы получите до 4% кешбэка на покупки и множество привилегий. Оформить карту?"
54,Премиальная карта,"Виктория, заметили, что ваши траты в ресторанах впечатляют! Премиальная карта подарит вам до 4% кешбэка и особые привилегии. Удобно и выгодно! Оформить карту?"
55,Премиальная карта,"Асель, заметили ваши активные траты в ресторанах. Премиальная карта подарит вам до 4% кешбэка на все покупки и удобные привилегии. Оформить сейчас?"
56,Кредитная карта,"Нуркен, заметили, что вы часто тратите на продукты и кафе. С кредитной картой вы получите до 10% кешбэка в этих категориях. Оформить карту?"
57,Премиальная карта,"Жания, видим, что вы активно тратите на рестораны. Премиальная карта подарит до 4% кешбэка на все покупки и эксклюзивные привилегии. Оформить карту?"
58,Кредитная карта,"Султан, заметили, что вы часто тратите на продукты и кафе. С кредитной картой получите до 10% кешбэка именно в этих категориях. Оформить карту?"
59,Премиальная карта,"Динара, заметили ваши активные траты в ресторанах. С премиальной картой получите до 4% кешбэка на покупки и особые привилегии. Оформить карту?"
60,Премиальная карта,"Ермек, заметили, что вы активно тратите в ресторанах. С премиальной картой получите до 4% кешбэка и другие привилегии для комфортных покупок. Оформить карту?"
